Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12638,4803,111,131,Standard Class,RW-19630,United States,Saint Paul,Minnesota,55106,Central,OFF-PA-10004610,OfficeSupply,Paper,Xerox 1900,264.2695,3,0.7,-54.4739
12639,8123,571,599,Same Day,VT-21700,United States,Vacaville,California,95687,West,OFF-PA-10001204,OfficeSupply,Paper,Xerox 1972,0.01,8,0.2,0.0024
12640,1384,1074,1102,Standard Class,MV-18190,United States,Shelton,Connecticut,6484,East,FUR-CH-10003746,Furni,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,826.3915,7,0.2,-26.20
12642,8923,924,936,Same Day,MH-18025,United States,Oak Park,Illinois,60302,Central,OFF-LA-10004409,OfficeSupply,Labels,Avery 492,1415.8726,8,0.1,-76.35
12643,937,393,413,First Class,KC-16675,United States,Concord,North Carolina,28027,South,TEC-AC-10001606,Tech,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,133.4795,6,0.5,-11.73
12644,3988,87,103,Same Day,JS-15940,United States,Baytown,Texas,77520,Central,OFF-PA-10003441,OfficeSupply,Paper,Xerox 226,559.7156,4,0.1,40.9675
12645,4094,148,160,First Class,KH-16330,United States,Lakeland,Florida,33801,South,TEC-AC-10003657,technologies,Accessories,Lenovo 17-Key USB Numeric Keypad,0.01,14,0.6,-0.0026
12646,9244,974,990,Standard Class,SN-20710,United States,Margate,Florida,33063,South,TEC-AC-10001539,technologies,Accessories,Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,818.5144,1,0.15,-70.302
12647,4011,122,142,First Class,DB-12910,United States,New York City,New York,10024,East,OFF-AP-10001391,OfficeSupply,Appliances,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,0.01,4,0.3,-0.005
12649,5892,644,664,Second Class,TD-20995,United States,Independence,Missouri,64055,Central,OFF-AP-10003040,OfficeSupply,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,0.01,2,0.5,-0.0038
12650,4710,308,320,Standard Class,JO-15550,United States,New York City,New York,10035,East,TEC-PH-10002170,Tech,Phones,ClearSounds CSC500 Amplified Spirit Phone Corded phone,0.01,13,0.1,0.0045
12652,5476,111,143,Second Class,DC-12850,United States,Watertown,New York,13601,East,FUR-FU-10001706,Furni,Furnishings,Longer-Life Soft White Bulbs,332.2505,10,0.15,
12654,6635,1075,1099,First Class,ML-17410,United States,Seattle,Washington,98105,West,FUR-BO-10001972,Furni,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,560.3425,11,0.2,212.3192
12655,10982,959,975,Same Day,RR-19525,United States,Rockford,Illinois,61107,Central,OFF-PA-10003001,OfficeSupply,Paper,Xerox 1986,585.4243,6,0.7,-210.1643
12656,603,729,761,Standard Class,PS-18970,United States,Athens,Georgia,30605,South,TEC-AC-10003441,Tech,Accessories,Kingston Digital DataTraveler 32GB USB 2.0,0.01,12,0.32,-0.0003
12657,2468,334,342,Standard Class,DA-13450,United States,Roseville,California,95661,West,OFF-EN-10004007,OfficeSupply,Envelopes,Park Ridge Embossed Executive Business Envelopes,1298.6381,4,0.32,-645.5763
12658,11320,391,403,Second Class,CD-12790,United States,Wilmington,North Carolina,28403,South,OFF-PA-10000528,OfficeSupply,Paper,Xerox 1981,589.1397,1,0.7,-328.9084
12659,9947,191,215,Same Day,BD-11605,United States,Bozeman,Montana,59715,West,OFF-PA-10004965,OfficeSupply,Paper,Xerox 1921,760.6845,10,,-144.7582
12660,7629,490,510,Same Day,AO-10810,United States,Englewood,Colorado,80112,West,FUR-FU-10002364,Furni,Furnishings,"Eldon Expressions Wood Desk Accessories, Oak",72.1337,4,0.4,-13.1635
12661,8541,279,299,Second Class,AF-10870,United States,Torrance,California,90503,West,TEC-AC-10000397,technologies,Accessories,"Perixx PERIBOARD-512B, Ergonomic Split Keyboard",1215.6101,2,0.2,83.2925
12662,11428,1116,1120,Same Day,RB-19360,United States,Jackson,Mississippi,39212,South,OFF-PA-10002659,OfficeSupply,Paper,Avoid Verbal Orders Carbonless Minifold Book,965.864,4,0.15,197.5241
12663,5976,1147,1163,Second Class,KT-16480,United States,Mansfield,Texas,76063,Central,TEC-PH-10001530,Tech,Phones,Cisco Unified IP Phone 7945G VoIP phone,0.01,3,0.8,-0.0069
12664,2981,416,432,Second Class,BV-11245,United States,Logan,Utah,84321,West,OFF-AP-10003622,OfficeSupply,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",1112.6376,7,0.45,-377.1019
12665,4270,38,54,Same Day,AJ-10780,United States,San Jose,California,95123,,FUR-FU-10001591,Furni,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,744.8402,13,0.32,26.8684
12666,11819,660,680,First Class,PW-19030,United States,Elmhurst,Illinois,60126,,TEC-AC-10002402,technologies,Accessories,Razer Kraken PRO Over Ear PC and Music Headset,0.01,8,0.7,-0.0007
12667,1638,1367,1371,First Class,CL-12700,United States,Lewiston,Idaho,83501,West,FUR-TA-10001539,Furni,Tables,Chromcraft Rectangular Conference Tables,858.5326,11,,-217.0329
12668,9740,753,761,Second Class,HK-14890,United States,Hackensack,New Jersey,7601,East,FUR-FU-10004864,Furni,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",455.2437,4,0.32,132.315
12669,2482,1334,1338,Same Day,KM-16225,United States,Lorain,Ohio,44052,,TEC-PH-10003437,Tech,Phones,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,426.9002,7,0.2,132.9409
12670,7254,819,823,Second Class,KD-16495,United States,Lawton,Oklahoma,73505,Central,OFF-LA-10003190,OfficeSupply,Labels,Avery 474,0.01,3,0.4,-0.00
12671,10394,503,523,Same Day,EB-13870,United States,Los Angeles,California,90004,,OFF-ST-10001097,OfficeSupply,Storage,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,0.01,5,0.15,0.0025
12672,11222,1040,1068,First Class,PB-19210,United States,La Mesa,California,91941,,OFF-PA-10004735,OfficeSupply,Paper,Xerox 1905,1135.3011,4,0.4,-254.8294
12673,3834,815,835,Second Class,TB-21190,United States,York,Pennsylvania,17403,East,OFF-PA-10003177,OfficeSupply,Paper,Xerox 1999,574.3072,3,0.2,
12674,1317,1227,1231,Standard Class,SC-20575,United States,Boise,Idaho,83704,West,TEC-PH-10001809,Tech,Phones,Panasonic KX T7736-B Digital phone,396.678,8,0.45,-117.5904
12676,10886,615,639,Standard Class,CP-12340,United States,Johnson City,Tennessee,37604,South,OFF-PA-10000141,OfficeSupply,Paper,"Ampad Evidence Wirebond Steno Books, 6"" x 9""",783.334,3,0.15,
12677,5410,169,177,Second Class,AP-10720,United States,Los Angeles,California,90008,West,OFF-BI-10004209,OfficeSupply,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg",649.7087,4,0.1,83.61
12678,9054,669,685,First Class,SG-20080,United States,Des Plaines,Illinois,60016,Central,FUR-FU-10004071,Furni,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,0.01,6,0.2,-0.0002
12680,9651,1230,1250,Same Day,HM-14860,United States,Waterloo,Iowa,50701,Central,OFF-PA-10000176,OfficeSupply,Paper,Xerox 1887,614.0355,11,0.7,-235.6399
12681,1998,1381,1409,Standard Class,SV-20815,United States,Sterling Heights,Michigan,48310,Central,OFF-LA-10001158,OfficeSupply,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",458.9501,8,0.5,-131.9609
12682,4030,953,973,First Class,DP-13165,United States,Tamarac,Florida,33319,South,OFF-EN-10002592,OfficeSupply,Envelopes,"Peel & Seel Recycled Catalog Envelopes, Brown",0.01,7,0.45,0.00
12683,440,789,805,Standard Class,JP-15460,United States,Garden City,Kansas,67846,Central,OFF-AR-10003478,OfficeSupply,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",737.2224,14,0.6,-143.3858
12684,9521,1022,1054,Second Class,JS-15685,United States,El Paso,Texas,79907,Central,OFF-AR-10001683,OfficeSupply,Art,Lumber Crayons,0.01,14,0.15,0.0048
12685,10837,1018,1026,Second Class,BS-11365,United States,Murfreesboro,Tennessee,37130,South,OFF-ST-10000344,OfficeSupply,Storage,"Neat Ideas Personal Hanging Folder Files, Black",0.01,9,0.7,-0.0042
12686,10680,221,225,Standard Class,RW-19690,United States,Danville,Illinois,61832,Central,OFF-BI-10004965,OfficeSupply,Binders,Ibico Covers for Plastic or Wire Binding Elements,0.01,14,0.0,0.003
12687,6466,130,142,First Class,ND-18460,United States,Danville,California,94526,West,OFF-AR-10004707,OfficeSupply,Art,Staples in misc. colors,0.01,7,0.3,-0.0021
12688,1123,771,791,Same Day,BT-11680,United States,Garden City,Kansas,67846,Central,TEC-PH-10001615,technologies,Phones,AT&T CL82213,734.5952,10,,-21.7776
12689,11006,340,356,Same Day,MH-17785,United States,Auburn,Alabama,36830,South,OFF-PA-10000501,OfficeSupply,Paper,Petty Cash Envelope,0.01,4,0.8,-0.0071
12690,7714,965,993,Standard Class,PO-19195,United States,Murfreesboro,Tennessee,37130,South,OFF-BI-10002897,OfficeSupply,Binders,"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",0.01,14,0.1,0.0013
12692,6728,1145,1177,Standard Class,LH-17020,United States,Homestead,Florida,33030,South,OFF-EN-10002973,OfficeSupply,Envelopes,Ampad #10 Peel & Seel Holiday Envelopes,0.01,2,0.2,0.0034
12693,1855,1159,1179,Same Day,NS-18505,United States,Redwood City,California,94061,West,OFF-PA-10000565,OfficeSupply,Paper,Easy-staple paper,0.01,9,0.3,0.0007
12694,9467,677,697,Second Class,JR-15670,United States,Rochester,Minnesota,55901,Central,OFF-EN-10002504,OfficeSupply,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",0.01,11,0.7,0.0001
12696,7892,433,437,Same Day,MP-17965,United States,Waterbury,Connecticut,6708,East,TEC-PH-10004080,Tech,Phones,Avaya 5410 Digital phone,0.01,8,0.5,-0.00
12697,1319,159,191,Same Day,DM-13525,United States,Torrance,California,90503,West,OFF-SU-10004498,OfficeSupply,Supplies,Martin-Yale Premier Letter Opener,161.0844,8,0.2,61.78
12698,1866,383,391,Second Class,PB-19210,United States,Eagan,Minnesota,55122,Central,TEC-AC-10001284,technologies,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,0.01,11,0.5,-0.0041
12699,4697,431,443,First Class,FA-14230,United States,Atlanta,Georgia,30318,South,OFF-PA-10000556,OfficeSupply,Paper,Xerox 208,0.0,1,0.7,0.0
12700,11649,176,200,Standard Class,SC-20575,United States,Deer Park,Texas,77536,Central,OFF-SU-10004231,OfficeSupply,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,0.01,4,0.8,-0.0033
12701,7925,483,499,Same Day,DW-13585,United States,Port Saint Lucie,Florida,34952,South,OFF-AP-10000159,OfficeSupply,Appliances,Belkin F9M820V08 8 Outlet Surge,0.01,4,0.5,-0.0009
12702,3334,288,312,Standard Class,DW-13480,United States,Dallas,Texas,75217,Central,OFF-AR-10004685,OfficeSupply,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",907.0868,7,0.45,80.3265
12703,1825,222,226,Standard Class,GA-14515,United States,Tamarac,Florida,33319,South,OFF-PA-10000474,OfficeSupply,Paper,Easy-staple paper,0.01,5,0.4,-0.0005
12704,3612,196,212,Standard Class,DL-12925,United States,Bolingbrook,Illinois,60440,Central,OFF-PA-10002960,OfficeSupply,Paper,Xerox 1926,51.6432,11,0.7,-37.6734
12706,3025,28,56,First Class,AH-10210,United States,Lindenhurst,New York,11757,East,OFF-BI-10001308,OfficeSupply,Binders,GBC Standard Plastic Binding Systems' Combs,471.5213,11,0.5,-28.5661
12707,11010,226,251,Second Class,BT-11485,United States,Loveland,Colorado,80538,West,OFF-FA-10000936,OfficeSupply,Fasteners,Acco Hot Clips Clips to Go,1298.9593,2,0.6,-567.96
12709,9111,1259,1271,Same Day,AJ-10795,United States,Philadelphia,Pennsylvania,19134,East,TEC-AC-10000487,Tech,Accessories,SanDisk Cruzer 4 GB USB Flash Drive,0.01,10,0.0,0.0038
12710,3288,1244,1248,Second Class,LP-17095,United States,Bellevue,Washington,98006,West,TEC-PH-10003589,Tech,Phones,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,0.01,13,0.1,0.0023
12711,8224,769,781,Standard Class,PT-19090,United States,Apple Valley,California,92307,West,OFF-FA-10000490,OfficeSupply,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",249.3629,4,0.6,-62.7485
12712,5933,211,240,Standard Class,ML-17410,United States,Harlingen,Texas,78550,Central,TEC-PH-10001700,technologies,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,305.1376,13,0.2,17.5767
12713,1119,1223,1255,First Class,PO-18865,United States,Moreno Valley,California,92553,West,OFF-FA-10000621,OfficeSupply,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",0.01,4,,0.0004
12715,10760,240,268,First Class,TS-21340,United States,Roswell,Georgia,30076,South,TEC-PH-10003437,technologies,Phones,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,0.01,2,0.45,-0.00
12716,5775,1292,1316,Same Day,JK-15325,United States,Saint Charles,Illinois,60174,Central,FUR-BO-10003966,Furni,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",562.1408,3,0.6,-475.0863
12717,7901,641,649,Same Day,AH-10075,United States,Great Falls,Montana,59405,West,FUR-CH-10001394,Furni,Chairs,Global Leather Executive Chair,0.01,5,0.5,-0.0022
12719,4187,1002,1026,Same Day,DJ-13510,United States,Atlantic City,New Jersey,8401,,TEC-PH-10002680,technologies,Phones,Samsung Galaxy Note 3,125.5818,6,0.45,-42.5506
12720,8337,718,722,First Class,MG-17875,United States,Oklahoma City,Oklahoma,73120,Central,FUR-CH-10004495,Furni,Chairs,"Global Leather and Oak Executive Chair, Black",677.7288,9,0.4,-191.706
12721,10446,357,377,Standard Class,CV-12805,United States,Murray,Utah,84107,West,OFF-AP-10000124,OfficeSupply,Appliances,Acco 6 Outlet Guardian Basic Surge Suppressor,0.01,1,0.4,-0.003
12722,5498,417,441,Second Class,DB-13060,United States,West Palm Beach,Florida,33407,South,FUR-BO-10000468,Furni,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,779.7422,12,0.0,152.0175
12723,8261,169,193,Second Class,BS-11380,United States,Garland,Texas,75043,Central,OFF-FA-10000585,OfficeSupply,Fasteners,OIC Bulk Pack Metal Binder Clips,0.01,12,0.1,0.0031
12724,7561,549,557,Same Day,CM-12190,United States,Frisco,Texas,75034,Central,OFF-AP-10004487,OfficeSupply,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,517.4108,13,0.32,-251.1651
12725,3590,450,478,First Class,AG-10525,United States,Orem,Utah,84057,West,OFF-EN-10003055,OfficeSupply,Envelopes,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",0.01,5,0.7,-0.0066
12726,140,442,454,Second Class,MS-17770,United States,Mobile,Alabama,36608,South,TEC-MA-10002178,Tech,Machines,Cisco CP-7937G Unified IP Conference Station Phone,0.01,9,0.15,0.0015
12727,8406,950,962,Second Class,MC-17275,United States,Portage,Indiana,46368,Central,TEC-PH-10002398,technologies,Phones,AT&T 1070 Corded Phone,996.7138,14,0.15,-191.6161
12728,8484,1162,1182,Standard Class,AS-10225,United States,Lowell,Massachusetts,1852,East,TEC-PH-10001336,technologies,Phones,Digium D40 VoIP phone,645.931,4,0.6,-55.9375
12729,7386,697,729,First Class,NM-18520,United States,Colorado Springs,Colorado,80906,West,FUR-TA-10004256,Furni,Tables,Bretford Just In Time Height-Adjustable Multi-Task Work Tables,0.01,1,0.8,-0.0045
12730,7114,1197,1225,Standard Class,CS-12250,United States,Bozeman,Montana,59715,West,TEC-PH-10000215,Tech,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,0.01,8,0.15,0.0019
12731,5324,298,330,First Class,TC-20980,United States,Chester,Pennsylvania,19013,East,OFF-ST-10000464,OfficeSupply,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",1044.4921,11,0.3,-267.5546
12732,4776,1179,1207,First Class,CW-11905,United States,Haltom City,Texas,76117,Central,OFF-LA-10003923,OfficeSupply,Labels,Alphabetical Labels for Top Tab Filing,175.5502,10,0.15,41.1426
12733,11385,1046,1054,Standard Class,CC-12145,United States,Florence,Kentucky,41042,South,TEC-PH-10000213,Tech,Phones,Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,894.2169,14,,-700.5777
12734,3836,1033,1049,Same Day,PC-18745,United States,Seattle,Washington,98105,--,TEC-PH-10003437,technologies,Phones,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,0.01,8,0.15,0.0011
12735,5499,1100,1116,Same Day,HE-14800,United States,York,Pennsylvania,17403,East,OFF-PA-10001295,OfficeSupply,Paper,Computer Printout Paper with Letter-Trim Perforations,868.1585,10,0.6,-217.9246
12736,5335,838,850,Second Class,KB-16240,United States,San Diego,California,92037,West,TEC-MA-10004521,Tech,Machines,Epson Perfection V600 Photo Scanner,0.01,4,0.6,-0.00
12737,2867,445,469,Standard Class,LO-17170,United States,Yonkers,New York,10701,East,OFF-BI-10001900,OfficeSupply,Binders,"DXL Angle-View Binders with Locking Rings, Black",26.6025,12,0.1,10.4819
12738,6604,651,659,Standard Class,MO-17500,United States,Coachella,California,92236,West,OFF-PA-10000807,OfficeSupply,Paper,"TOPS ""Important Message"" Pads, Canary, 4-1/4 x 5-1/2, 50 Sheets per Pad",550.9356,3,0.6,-188.2361
12739,10821,1355,1367,Standard Class,CC-12220,United States,Dublin,California,94568,West,OFF-PA-10001274,OfficeSupply,Paper,Loose Memo Sheets,0.01,8,0.8,-0.0087
12740,11542,1405,1421,First Class,KE-16420,United States,Allen,Texas,75002,Central,OFF-AR-10001953,OfficeSupply,Art,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,454.6446,6,0.0,301.5424
12741,11316,1355,1379,Standard Class,JK-16090,United States,Charlotte,North Carolina,28205,South,OFF-FA-10004968,OfficeSupply,Fasteners,Rubber Band Ball,0.01,14,0.4,0.0017
12742,5418,1432,1460,First Class,BP-11095,United States,Park Ridge,Illinois,60068,Central,FUR-FU-10003489,Furni,Furnishings,Contemporary Borderless Frame,465.6811,2,0.4,-73.4828
12743,11329,1200,1216,Second Class,AG-10390,United States,Pasadena,Texas,77506,Central,TEC-AC-10003657,Tech,Accessories,Lenovo 17-Key USB Numeric Keypad,115.1384,3,0.2,12.6486
12744,3444,369,377,Second Class,AJ-10945,United States,Grove City,Ohio,43123,East,OFF-ST-10002486,OfficeSupply,Storage,Eldon Shelf Savers Cubes and Bins,384.673,13,,-87.268
12745,2950,190,210,Second Class,DM-13345,United States,Auburn,Washington,98002,West,OFF-AR-10002952,OfficeSupply,Art,Stanley Contemporary Battery Pencil Sharpeners,729.5365,5,0.15,206.914
12746,3234,1051,1067,First Class,BF-11020,United States,Taylor,Michigan,48180,Central,TEC-PH-10001918,technologies,Phones,Nortel Business Series Terminal T7208 Digital phone,788.4172,14,0.2,-71.1398
12747,2405,854,882,First Class,SS-20875,United States,Richardson,Texas,75080,Central,FUR-FU-10001037,Furni,Furnishings,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",137.1563,13,0.4,39.3321
12748,3534,1156,1184,First Class,PJ-19015,United States,Sioux Falls,South Dakota,57103,Central,FUR-FU-10002874,Furni,Furnishings,Ultra Commercial Grade Dual Valve Door Closer,0.01,11,0.0,0.0003
12750,7031,365,373,Standard Class,LR-16915,United States,Sacramento,California,95823,West,OFF-LA-10000452,OfficeSupply,Labels,Avery 488,0.01,1,0.4,-0.0029
12751,9265,909,925,Second Class,ZD-21925,United States,El Cajon,California,92020,West,FUR-BO-10003966,Furni,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",116.096,4,0.6,-7.5132
12752,2065,880,904,Same Day,AA-10375,United States,Tallahassee,Florida,32303,South,TEC-MA-10004212,technologies,Machines,Cisco SPA525G2 5-Line IP Phone,1090.5442,6,0.8,-700.539
12753,1264,1104,1132,Standard Class,BF-11005,United States,Miami,Florida,33178,South,FUR-BO-10000468,Furni,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,880.3204,13,0.32,-289.739
12754,1232,211,231,Standard Class,SL-20155,United States,Iowa City,Iowa,52240,Central,OFF-BI-10000546,OfficeSupply,Binders,Avery Durable Binders,139.8832,12,0.15,42.1577
12755,6154,965,981,Same Day,MG-17875,United States,Greenwood,Indiana,46142,Central,OFF-AP-10004785,OfficeSupply,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",0.01,3,0.32,-0.0013
12756,7376,1006,1022,Same Day,MH-17440,United States,Belleville,New Jersey,7109,East,OFF-BI-10001543,OfficeSupply,Binders,GBC VeloBinder Manual Binding System,302.5296,9,0.0,186.8705
12757,2984,3,17,Standard Class,SH-19975,United States,Boise,Idaho,83704,West,OFF-BI-10003712,OfficeSupply,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",0.01,13,0.1,0.0061
12758,10925,1393,1405,Standard Class,BE-11455,United States,Pompano Beach,Florida,33068,South,TEC-MA-10004002,technologies,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,93.4357,11,0.4,-46.0752
12759,6204,119,143,Standard Class,MH-17440,United States,Brentwood,California,94513,West,OFF-ST-10000675,OfficeSupply,Storage,"File Shuttle II and Handi-File, Black",890.1404,11,0.3,-14.5934
12760,3804,1193,1197,Standard Class,JH-15820,United States,Broken Arrow,Oklahoma,74012,Central,TEC-PH-10001835,Tech,Phones,Jawbone JAMBOX Wireless Bluetooth Speaker,117.441,14,0.15,
12761,802,513,537,First Class,PB-18805,United States,Boise,Idaho,83704,West,FUR-FU-10002918,Furni,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,0.01,8,0.3,0.0017
12762,3390,1245,1261,Same Day,ND-18370,United States,Decatur,Illinois,62521,Central,OFF-AR-10001547,OfficeSupply,Art,Newell 311,517.697,3,0.4,-131.841
12763,10732,1290,1294,Second Class,BE-11335,United States,Lancaster,California,93534,West,OFF-PA-10003543,OfficeSupply,Paper,Xerox 1985,738.5876,6,0.8,
12764,9894,806,814,Second Class,HA-14905,United States,Kissimmee,Florida,34741,South,TEC-AC-10002167,Tech,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,625.6485,13,0.0,146.0216
12765,5154,954,986,Same Day,SC-20260,United States,Mishawaka,Indiana,46544,Central,OFF-BI-10003694,OfficeSupply,Binders,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",0.01,2,,-0.002
12766,1879,875,887,First Class,KB-16405,United States,New Brunswick,New Jersey,8901,East,FUR-CH-10004698,Furni,Chairs,"Padded Folding Chairs, Black, 4/Carton",624.4535,12,0.5,-11.0348
12767,10965,1186,1206,Same Day,DK-13150,United States,Lansing,Michigan,48911,Central,FUR-BO-10003894,Furni,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",0.01,13,0.4,-0.0016
12768,6723,972,988,Second Class,CS-12460,United States,Hialeah,Florida,33012,South,OFF-PA-10000552,OfficeSupply,Paper,Xerox 200,15.2422,10,0.32,-1.1955
12769,1059,1078,1082,First Class,BO-11425,United States,Sacramento,California,95823,West,OFF-LA-10000081,OfficeSupply,Labels,Avery 496,244.2435,14,0.6,6.411
12770,93,859,875,Standard Class,MP-17965,United States,Hattiesburg,Mississippi,39401,South,OFF-BI-10002764,OfficeSupply,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge,242.1812,6,0.2,
12771,581,1259,1283,Second Class,CR-12625,United States,Jackson,Michigan,49201,--,OFF-ST-10000419,OfficeSupply,Storage,"Rogers Jumbo File, Granite",818.7092,4,0.0,433.069
12772,8514,385,389,First Class,MD-17860,United States,Costa Mesa,California,92627,West,FUR-FU-10001706,Furni,Furnishings,Longer-Life Soft White Bulbs,403.9433,9,0.2,51.1456
12773,5836,163,167,Second Class,RH-19510,United States,Springfield,Missouri,65807,--,FUR-FU-10003798,Furni,Furnishings,"Ultra Door Kickplate, 8""H x 34""W",196.2435,12,0.2,25.31
12774,5074,1055,1075,Standard Class,JL-15835,United States,Waterbury,Connecticut,6708,East,OFF-BI-10000136,OfficeSupply,Binders,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,618.2984,12,0.0,117.2752
